file_stub,sha_id,output,nodes,edges,citations,references,status
001_Bowker_2023,e9a67de0cbf3cfb2cfcb74629c2a3762db6c66c8,data/semantic_scholar/001_Bowker_2023_semanticscholar_graph.json,9,8,8,0,ok
002_Brown_2020,90abbc2cf38462b954ae1b772fac9532e2ccd8b0,data/semantic_scholar/002_Brown_2020_semanticscholar_graph.json,1140,1139,1000,139,ok
003_Devlin_2019,df2b0e26d0599ce3e70df8a9da02e51594e0e992,data/semantic_scholar/003_Devlin_2019_semanticscholar_graph.json,1060,1059,1000,59,ok
004_Halliday_1978,7bd41786f7ef480b51e83941eb60a81501924e47,data/semantic_scholar/004_Halliday_1978_semanticscholar_graph.json,1001,1000,1000,0,ok
005_House_2015,8c7cac6e35f422fadf522641184692b54fea1d6b,data/semantic_scholar/005_House_2015_semanticscholar_graph.json,73,72,37,35,ok
006_Jurafsky_2024,1254c99a381d1f9d6abb23c74be060e4e7876985,data/semantic_scholar/006_Jurafsky_2024_semanticscholar_graph.json,1001,1000,1000,0,ok
007_Kaplan_2020,e6c561d02500b2596a230b341a8eb8b921ca5bf2,data/semantic_scholar/007_Kaplan_2020_semanticscholar_graph.json,1051,1050,1000,50,ok
008_Kenny_2022,322589d9b59a32eef6026e8f37955dbd6276a8fe,data/semantic_scholar/008_Kenny_2022_semanticscholar_graph.json,2,1,1,0,ok
009_Koehn_2010,0b544dfe355a5070b60986319a3f51fb45d1348e,data/semantic_scholar/009_Koehn_2010_semanticscholar_graph.json,1032,1031,1000,31,ok
010_Koehn_2020,eea463ed69db876cdc12371d2bec200849b608a7,data/semantic_scholar/010_Koehn_2020_semanticscholar_graph.json,656,655,655,0,ok
011_Longpre_2023,f2b0017ddd77fa38760a18145e63553105a1a236,data/semantic_scholar/011_Longpre_2023_semanticscholar_graph.json,913,912,820,92,ok
012_Mikolov_2013,87f40e6f3022adbc1f1905e3e506abad05a9964f,data/semantic_scholar/012_Mikolov_2013_semanticscholar_graph.json,1022,1021,1000,21,ok
013_Nord_1997,1694c62bf22b6e36b6ae44b0e52d5fb7b37c3dcb,data/semantic_scholar/013_Nord_1997_semanticscholar_graph.json,1001,1000,1000,0,ok
014_Ouyang_2022,d766bffc357127e0dc86dd69561d5aeb520d6f4c,data/semantic_scholar/014_Ouyang_2022_semanticscholar_graph.json,1080,1079,1000,79,ok
015_Reiss_2013,d1c3876127ccdcaa713b9f9f91b1dacf2df752fd,data/semantic_scholar/015_Reiss_2013_semanticscholar_graph.json,770,769,769,0,ok
016_Schick_2023,53d128ea815bcc0526856eb5a9c42cc977cb36a7,data/semantic_scholar/016_Schick_2023_semanticscholar_graph.json,1054,1053,1000,53,ok
017_Touvron_2023,57e849d0de13ed5f91d086936296721d4ff75a75,data/semantic_scholar/017_Touvron_2023_semanticscholar_graph.json,1077,1076,1000,76,ok
018_Vaswani_2017,204e3073870fae3d05bcbc2f6a8e263d9b72e776,data/semantic_scholar/018_Vaswani_2017_semanticscholar_graph.json,1040,1039,1000,39,ok
019_Wei_2022,1b6e810ce0afd0dd093f789d2b2742d047e316d5,data/semantic_scholar/019_Wei_2022_semanticscholar_graph.json,1095,1094,1000,94,ok
