source,file_stub,graph_json,widget_json,widget_html,nodes,edges,status
semantic_scholar,001_Bowker_2023,data/semantic_scholar/001_Bowker_2023_semanticscholar_graph.json,data/semantic_scholar/widgets/001_Bowker_2023_semanticscholar_widget.json,data/semantic_scholar/widgets/001_Bowker_2023_semanticscholar_widget.html,9,8,None
semantic_scholar,002_Brown_2020,data/semantic_scholar/002_Brown_2020_semanticscholar_graph.json,data/semantic_scholar/widgets/002_Brown_2020_semanticscholar_widget.json,data/semantic_scholar/widgets/002_Brown_2020_semanticscholar_widget.html,1140,1139,None
semantic_scholar,003_Devlin_2019,data/semantic_scholar/003_Devlin_2019_semanticscholar_graph.json,data/semantic_scholar/widgets/003_Devlin_2019_semanticscholar_widget.json,data/semantic_scholar/widgets/003_Devlin_2019_semanticscholar_widget.html,1060,1059,None
semantic_scholar,004_Halliday_1978,data/semantic_scholar/004_Halliday_1978_semanticscholar_graph.json,data/semantic_scholar/widgets/004_Halliday_1978_semanticscholar_widget.json,data/semantic_scholar/widgets/004_Halliday_1978_semanticscholar_widget.html,1001,1000,None
semantic_scholar,005_House_2015,data/semantic_scholar/005_House_2015_semanticscholar_graph.json,data/semantic_scholar/widgets/005_House_2015_semanticscholar_widget.json,data/semantic_scholar/widgets/005_House_2015_semanticscholar_widget.html,73,72,None
semantic_scholar,006_Jurafsky_2024,data/semantic_scholar/006_Jurafsky_2024_semanticscholar_graph.json,data/semantic_scholar/widgets/006_Jurafsky_2024_semanticscholar_widget.json,data/semantic_scholar/widgets/006_Jurafsky_2024_semanticscholar_widget.html,1001,1000,None
semantic_scholar,007_Kaplan_2020,data/semantic_scholar/007_Kaplan_2020_semanticscholar_graph.json,data/semantic_scholar/widgets/007_Kaplan_2020_semanticscholar_widget.json,data/semantic_scholar/widgets/007_Kaplan_2020_semanticscholar_widget.html,1051,1050,None
semantic_scholar,008_Kenny_2022,data/semantic_scholar/008_Kenny_2022_semanticscholar_graph.json,data/semantic_scholar/widgets/008_Kenny_2022_semanticscholar_widget.json,data/semantic_scholar/widgets/008_Kenny_2022_semanticscholar_widget.html,2,1,None
semantic_scholar,009_Koehn_2010,data/semantic_scholar/009_Koehn_2010_semanticscholar_graph.json,data/semantic_scholar/widgets/009_Koehn_2010_semanticscholar_widget.json,data/semantic_scholar/widgets/009_Koehn_2010_semanticscholar_widget.html,1032,1031,None
semantic_scholar,010_Koehn_2020,data/semantic_scholar/010_Koehn_2020_semanticscholar_graph.json,data/semantic_scholar/widgets/010_Koehn_2020_semanticscholar_widget.json,data/semantic_scholar/widgets/010_Koehn_2020_semanticscholar_widget.html,656,655,None
semantic_scholar,011_Longpre_2023,data/semantic_scholar/011_Longpre_2023_semanticscholar_graph.json,data/semantic_scholar/widgets/011_Longpre_2023_semanticscholar_widget.json,data/semantic_scholar/widgets/011_Longpre_2023_semanticscholar_widget.html,913,912,None
semantic_scholar,012_Mikolov_2013,data/semantic_scholar/012_Mikolov_2013_semanticscholar_graph.json,data/semantic_scholar/widgets/012_Mikolov_2013_semanticscholar_widget.json,data/semantic_scholar/widgets/012_Mikolov_2013_semanticscholar_widget.html,1022,1021,None
semantic_scholar,013_Nord_1997,data/semantic_scholar/013_Nord_1997_semanticscholar_graph.json,data/semantic_scholar/widgets/013_Nord_1997_semanticscholar_widget.json,data/semantic_scholar/widgets/013_Nord_1997_semanticscholar_widget.html,1001,1000,None
semantic_scholar,014_Ouyang_2022,data/semantic_scholar/014_Ouyang_2022_semanticscholar_graph.json,data/semantic_scholar/widgets/014_Ouyang_2022_semanticscholar_widget.json,data/semantic_scholar/widgets/014_Ouyang_2022_semanticscholar_widget.html,1080,1079,None
semantic_scholar,015_Reiss_2013,data/semantic_scholar/015_Reiss_2013_semanticscholar_graph.json,data/semantic_scholar/widgets/015_Reiss_2013_semanticscholar_widget.json,data/semantic_scholar/widgets/015_Reiss_2013_semanticscholar_widget.html,770,769,None
semantic_scholar,016_Schick_2023,data/semantic_scholar/016_Schick_2023_semanticscholar_graph.json,data/semantic_scholar/widgets/016_Schick_2023_semanticscholar_widget.json,data/semantic_scholar/widgets/016_Schick_2023_semanticscholar_widget.html,1054,1053,None
semantic_scholar,017_Touvron_2023,data/semantic_scholar/017_Touvron_2023_semanticscholar_graph.json,data/semantic_scholar/widgets/017_Touvron_2023_semanticscholar_widget.json,data/semantic_scholar/widgets/017_Touvron_2023_semanticscholar_widget.html,1077,1076,None
semantic_scholar,018_Vaswani_2017,data/semantic_scholar/018_Vaswani_2017_semanticscholar_graph.json,data/semantic_scholar/widgets/018_Vaswani_2017_semanticscholar_widget.json,data/semantic_scholar/widgets/018_Vaswani_2017_semanticscholar_widget.html,1040,1039,None
semantic_scholar,019_Wei_2022,data/semantic_scholar/019_Wei_2022_semanticscholar_graph.json,data/semantic_scholar/widgets/019_Wei_2022_semanticscholar_widget.json,data/semantic_scholar/widgets/019_Wei_2022_semanticscholar_widget.html,1095,1094,None
semantic_scholar,all_sources,data/semantic_scholar/all_sources_semanticscholar_graph.json,data/semantic_scholar/widgets/all_sources_semanticscholar_widget.json,data/semantic_scholar/widgets/all_sources_semanticscholar_widget.html,14300,16058,None
connected_papers,manual_1,data/connected_papers/manual_1_graph_raw.json,data/connected_papers/manual_1_graph_widget.json,None,None,None,FRESH_GRAPH
